keys,zh_CN,en
UI_HINT_TITLE,"百炼 · 战斗原型","BAILIAN · Combat Prototype"
UI_HINT_MOVE,"移动　A / D　或　← / →","Move　A / D or ← / →"
UI_HINT_JUMP,"跳跃　W / 空格 / ↑","Jump　W / Space / ↑"
UI_HINT_ATTACK,"攻击　J　（连点三次＝三段连招）","Attack　J　(tap 3× for the 3-hit combo)"
UI_HINT_DODGE,"闪避　K　（带无敌帧，可打断自己的出招）","Dodge　K　(i-frames, cancels your own attack)"
UI_HINT_SKILL,"技能　L　（旋风斩，耗 30 蓝）","Skill　L　(Whirlwind, 30 MP)"
UI_HINT_SYSTEM,"C 角色面板　·　Esc 保存 / 暂停","C character　·　Esc save / pause"
UI_HINT_ENEMY,"小心左边那只游荡者 —— 它会还手","Beware the wanderer on the left — it fights back"
UI_MENU_TITLE,"百炼","BAILIAN"
UI_MENU_START,"新的开始","New Start"
UI_MENU_CONTINUE,"继续游戏","Continue"
UI_MENU_QUIT,"退出","Quit"
UI_MENU_LANGUAGE,"语言","Language"
UI_MENU_SETTINGS,"设置","Settings"
UI_ANVIL_TITLE,"铁匠铺","Forge"
UI_ANVIL_HINT,"按 J 打开","Press J to open"
UI_FORGE_TITLE,"铁匠铺 · 强化","Forge · Upgrade"
UI_FORGE_HINT,"↑↓ 选择　·　J 强化　·　K 分解　·　Tab 打造　·　Esc 离开","↑↓ select　·　J upgrade　·　K dismantle　·　Tab craft　·　Esc leave"
UI_FORGE_STATUS,"选一件装备强化","Pick a piece to upgrade"
UI_FORGE_EMPTY,"（没有可强化的装备）","(nothing to upgrade)"
UI_FORGE_MAXED,"已到顶","maxed"
UI_FORGE_COST,"精铁 ×%d","ore ×%d"
UI_FORGE_OK,"强化成功 → +%d","Upgraded → +%d"
UI_FORGE_POOR,"精铁不够（需要 ×%d）","Not enough ore (need ×%d)"
UI_FORGE_IN_BAG,"背包","bag"
UI_FORGE_DISMANTLE_WORN,"穿在身上的要先卸下才能分解","Unequip it before dismantling"
UI_FORGE_DISMANTLE_NONE,"这件拆不出材料","Nothing to salvage from this"
UI_FORGE_DISMANTLE_OK,"分解获得：%s","Salvaged: %s"
